"lake","date","year","doy","PML","PML.g440","taxon_name","number_per_net","mean_length","mean_individ_biomass","net_efficiency_mean","abundance_raw","abundance","biomass","manual_chl","cumulative.load","daily.load"
"L",2013-08-17,2013,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.015220673,0,0
"L",2013-08-18,2013,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.603521262,0,0
"L",2013-08-19,2013,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.939553502,0,0
"L",2013-08-21,2013,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.532224286,0,0
"L",2013-08-22,2013,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.437314855,0,0
"L",2013-08-23,2013,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28983755,0,0
"L",2013-08-24,2013,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.429731293,0,0
"L",2013-08-25,2013,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.412898083,0,0
"L",2013-08-26,2013,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.731633601,0,0
"L",2013-08-28,2013,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.895262507,0,0
"L",2013-08-29,2013,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.234680467,0,0
"L",2013-08-30,2013,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98723412,0,0
"L",2013-08-31,2013,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.923352255,0,0
"L",2013-09-01,2013,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.789372086,0,0
"L",2013-09-02,2013,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2013-09-03,2013,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2013-09-04,2013,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2013-09-05,2013,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2013-09-06,2013,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-05-16,2014,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-05-17,2014,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-05-18,2014,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-05-19,2014,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-05-21,2014,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-05-22,2014,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-05-23,2014,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-05-24,2014,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-05-25,2014,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-05-26,2014,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16131524725275,0,0
"L",2014-05-28,2014,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14606194586663,0,0
"L",2014-05-29,2014,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.716784517565768,0,0
"L",2014-05-30,2014,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4201082121004,0,0
"L",2014-05-31,2014,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06609373699217,0,0
"L",2014-06-01,2014,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57824272082085,0,0
"L",2014-06-02,2014,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15657552083333,0,0
"L",2014-06-04,2014,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78360214004745,0,0
"L",2014-06-05,2014,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08134703837829,0,0
"L",2014-06-06,2014,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96793440934066,0,0
"L",2014-06-07,2014,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72732866092241,0,0
"L",2014-06-08,2014,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84504622981186,0,0
"L",2014-06-09,2014,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88985818868631,0,0
"L",2014-06-11,2014,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33961903981435,0,0
"L",2014-06-12,2014,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80997225430819,0,0
"L",2014-06-13,2014,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16303878413253,0,0
"L",2014-06-14,2014,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24482060907842,0,0
"L",2014-06-15,2014,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00636928175991,0,0
"L",2014-06-16,2014,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08461785610223,0,0
"L",2014-06-18,2014,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64994185501998,0,0
"L",2014-06-19,2014,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94794138153513,0,0
"L",2014-06-20,2014,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93354984858891,0,0
"L",2014-06-21,2014,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13063629079254,0,0
"L",2014-06-22,2014,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57048680486181,0,0
"L",2014-06-23,2014,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08901287514569,0,0
"L",2014-06-25,2014,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.248267682838,0,0
"L",2014-06-26,2014,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77903476731602,0,0
"L",2014-06-27,2014,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48784321147602,0,0
"L",2014-06-28,2014,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51102478250916,0,0
"L",2014-06-29,2014,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47775661838162,0,0
"L",2014-06-30,2014,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26162509365634,0,0
"L",2014-07-02,2014,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44423382606976,0,0
"L",2014-07-03,2014,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75102729301948,0,0
"L",2014-07-04,2014,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04075384251166,0,0
"L",2014-07-05,2014,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42691228042791,0,0
"L",2014-07-06,2014,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95190551635864,0,0
"L",2014-07-07,2014,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08634139298202,0,0
"L",2014-07-09,2014,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.64554293362887,0,0
"L",2014-07-10,2014,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63571877341409,0,0
"L",2014-07-11,2014,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01334570377539,0,0
"L",2014-07-12,2014,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31272796214202,0,0
"L",2014-07-13,2014,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37917030885781,0,0
"L",2014-07-14,2014,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17320765172328,0,0
"L",2014-07-16,2014,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17932620764652,0,0
"L",2014-07-17,2014,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78601509167915,0,0
"L",2014-07-18,2014,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88330874854312,0,0
"L",2014-07-19,2014,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8131607975358,0,0
"L",2014-07-20,2014,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1018532249001,0,0
"L",2014-07-21,2014,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81505668810356,0,0
"L",2014-07-23,2014,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83953091179654,0,0
"L",2014-07-24,2014,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27886046245421,0,0
"L",2014-07-25,2014,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65467767909174,0,0
"L",2014-07-26,2014,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49550904824342,0,0
"L",2014-07-27,2014,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.10090137726857,0,0
"L",2014-07-28,2014,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68949312406344,0,0
"L",2014-07-30,2014,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7848086158633,0,0
"L",2014-07-31,2014,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81600463338745,0,0
"L",2014-08-01,2014,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20414513871545,0,0
"L",2014-08-02,2014,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5988389865343,0,0
"L",2014-08-03,2014,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57410623230936,0,0
"L",2014-08-04,2014,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67372666396104,0,0
"L",2014-08-06,2014,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3958063420954,0,0
"L",2014-08-07,2014,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57927684294872,0,0
"L",2014-08-08,2014,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24447980405012,0,0
"L",2014-08-09,2014,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62650175345488,0,0
"L",2014-08-10,2014,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79221982444639,0,0
"L",2014-08-11,2014,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.648086012295,0,0
"L",2014-08-13,2014,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81953788399101,0,0
"L",2014-08-14,2014,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65855953941891,0,0
"L",2014-08-15,2014,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94139194139194,0,0
"L",2014-08-16,2014,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14752695221445,0,0
"L",2014-08-17,2014,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39183830492424,0,0
"L",2014-08-18,2014,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.84125054632867,0,0
"L",2014-08-20,2014,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90954741872711,0,0
"L",2014-08-21,2014,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90846848464036,0,0
"L",2014-08-22,2014,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.35993726325758,0,0
"L",2014-08-23,2014,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29385523330836,0,0
"L",2014-08-24,2014,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35124510905761,0,0
"L",2014-08-25,2014,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.13287298638861,0,0
"L",2014-08-27,2014,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46862187291875,0,0
"L",2014-08-28,2014,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88020638215951,0,0
"L",2014-08-29,2014,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94940638788295,0,0
"L",2014-08-30,2014,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-08-31,2014,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-09-01,2014,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-09-02,2014,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-09-03,2014,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-09-04,2014,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-09-05,2014,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-09-06,2014,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2014-09-07,2014,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-09,2015,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-10,2015,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-11,2015,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-12,2015,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-13,2015,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-14,2015,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-15,2015,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-16,2015,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-17,2015,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-18,2015,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-20,2015,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-21,2015,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-22,2015,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-23,2015,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-24,2015,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2015-05-25,2015,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91511200384333,0,0
"L",2015-05-27,2015,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14971126932026,0,0
"L",2015-05-28,2015,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9832239905868,0,0
"L",2015-05-29,2015,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88330317246662,0,0
"L",2015-05-30,2015,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59818686515699,0,0
"L",2015-05-31,2015,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01497309118135,0,0
"L",2015-06-01,2015,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27514367659526,0,0
"L",2015-06-03,2015,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2400914183428,0,0
"L",2015-06-04,2015,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02528372889906,0,0
"L",2015-06-05,2015,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40072466340506,0,0
"L",2015-06-06,2015,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0375743844174,0,0
"L",2015-06-07,2015,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88298676242648,0,0
"L",2015-06-08,2015,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05422936827115,0,0
"L",2015-06-10,2015,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82313345182535,0,0
"L",2015-06-11,2015,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80391195200727,0,0
"L",2015-06-12,2015,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6277279036341,0,0
"L",2015-06-13,2015,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93132985106575,0,0
"L",2015-06-14,2015,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05429818405569,0,0
"L",2015-06-15,2015,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36990379390426,0,0
"L",2015-06-17,2015,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49089680107888,0,0
"L",2015-06-18,2015,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66581118439652,0,0
"L",2015-06-19,2015,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73118617970942,0,0
"L",2015-06-20,2015,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16081563455284,0,0
"L",2015-06-21,2015,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51122873742021,0,0
"L",2015-06-22,2015,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.157453045081,0,0
"L",2015-06-24,2015,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64383705319685,0,0
"L",2015-06-25,2015,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27583183444066,0,0
"L",2015-06-26,2015,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94177812035255,0,0
"L",2015-06-27,2015,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66635858268263,0,0
"L",2015-06-28,2015,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73642556330507,0,0
"L",2015-06-29,2015,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03353771305609,0,0
"L",2015-07-01,2015,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94822490816785,0,0
"L",2015-07-02,2015,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53073019236176,0,0
"L",2015-07-03,2015,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86827035050311,0,0
"L",2015-07-04,2015,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71492063063635,0,0
"L",2015-07-05,2015,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59660440108082,0,0
"L",2015-07-06,2015,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07088591612002,0,0
"L",2015-07-08,2015,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08572588365654,0,0
"L",2015-07-09,2015,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21120521078463,0,0
"L",2015-07-10,2015,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08267140122003,0,0
"L",2015-07-11,2015,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72153711192036,0,0
"L",2015-07-12,2015,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73697296159119,0,0
"L",2015-07-13,2015,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3412224697046,0,0
"L",2015-07-15,2015,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94373311423152,0,0
"L",2015-07-16,2015,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68645591975849,0,0
"L",2015-07-17,2015,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.203199901849,0,0
"L",2015-07-18,2015,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22681622790701,0,0
"L",2015-07-19,2015,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68684691853428,0,0
"L",2015-07-20,2015,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63187249065752,0,0
"L",2015-07-22,2015,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09020125564428,0,0
"L",2015-07-23,2015,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.921488411879,0,0
"L",2015-07-24,2015,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85153560289909,0,0
"L",2015-07-25,2015,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13976143144208,0,0
"L",2015-07-26,2015,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56493350024144,0,0
"L",2015-07-27,2015,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53083762499457,0,0
"L",2015-07-29,2015,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9940937565539,0,0
"L",2015-07-30,2015,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93372354557117,0,0
"L",2015-07-31,2015,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02912724686512,0,0
"L",2015-08-01,2015,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03139503976473,0,0
"L",2015-08-02,2015,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38492127488499,0,0
"L",2015-08-03,2015,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11283617477505,0,0
"L",2015-08-05,2015,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37508296368843,0,0
"L",2015-08-06,2015,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08535287082443,0,0
"L",2015-08-07,2015,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24816476106542,0,0
"L",2015-08-08,2015,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35795721730862,0,0
"L",2015-08-09,2015,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42880619548265,0,0
"L",2015-08-10,2015,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90605490820082,0,0
"L",2015-08-12,2015,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14486288450041,0,0
"L",2015-08-13,2015,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83010730599042,0,0
"L",2015-08-14,2015,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38501433259362,0,0
"L",2015-08-15,2015,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19060974126841,0,0
"L",2015-08-16,2015,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13023953028568,0,0
"L",2015-08-17,2015,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.87618699474716,0,0
"L",2015-08-19,2015,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58356351094227,0,0
"L",2015-08-20,2015,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9462539753696,0,0
"L",2015-08-21,2015,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54430723385246,0,0
"L",2015-08-22,2015,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62899756868963,0,0
"L",2015-08-23,2015,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85976504616377,0,0
"L",2015-08-24,2015,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15809711209527,0,0
"L",2015-08-26,2015,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72119508002206,0,0
"L",2015-08-27,2015,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3543784975443,0,0
"L",2015-08-28,2015,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24677563444555,0,0
"L",2015-08-29,2015,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00998677582416,0,0
"L",2015-08-30,2015,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59584087250223,0,0
"L",2015-08-31,2015,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15127526442344,0,0
"L",2015-09-01,2015,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13571351314681,0,0
"L",2015-09-02,2015,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59904706246374,0,0
"L",2015-09-03,2015,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90160191517382,0,0
"L",2015-09-04,2015,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2018-05-18,2018,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2018-05-19,2018,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2018-05-20,2018,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2018-05-21,2018,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2018-05-22,2018,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2018-05-23,2018,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2018-05-24,2018,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2018-05-25,2018,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2018-05-26,2018,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2018-05-27,2018,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"L",2018-05-28,2018,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4887756394046,0,0
"L",2018-05-30,2018,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23449197086452,0,0
"L",2018-05-31,2018,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.84632023933703,0,0
"L",2018-06-01,2018,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78741208384063,0,0
"L",2018-06-02,2018,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84740900851029,0,0
"L",2018-06-03,2018,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61211333728643,0,0
"L",2018-06-04,2018,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70912709831846,0,0
"L",2018-06-06,2018,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44698904663206,0,0
"L",2018-06-07,2018,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75719981989535,0,0
"L",2018-06-08,2018,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76348594869969,0,0
"L",2018-06-09,2018,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81682083535925,0,0
"L",2018-06-10,2018,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03476156906045,0,0
"L",2018-06-11,2018,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53044554477774,0,0
"L",2018-06-13,2018,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63996675796687,0,0
"L",2018-06-14,2018,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63795778896754,0,0
